desc,new_cos
hypotension nos,0.25
circulatory disease nec,0.7
pulmonary insufficiency or respiratory failure following trauma and surgery,0.2
acute renal failure,0.35
cramp of limb,0.1
chlorothiazide,0.75
digoxin,0.75
amiodarone,0.5
hcv fibro-sure (group:hcv-fibro),0
nonrheumatic tricuspid valve disorders,0.5
hypertensive chronic kidney disease,0.5
unstable angina (intermediate coronary syndrome),0.35
other acute and subacute forms of ischemic heart disease,0.6
chronic pulmonary heart disease,0.5
precordial pain,0.5
pericarditis,0.3
other cardiomyopathy,0.7
mobitz ii av block,0.25
"atrioventricular block, complete",0.25
left bundle branch block,0.5
other cardiac conduction disorders,0.3
cardiac pacemaker/device in situ,0.5
cardiac pacemaker in situ,0.5
cardiac defibrillator in situ,0.75
cardiac arrest and ventricular fibrillation,0.7
cardiac arrest,0.5
supraventricular premature beats,0.25
sinoatrial node dysfunction (bradycardia),0.25
heart failure nos,0.9
abnormal function study of cardiovascular system,0.5
chronic obstructive asthma,0.2
chronic obstructive asthma with exacerbation,0.2
respiratory insufficiency,0.3
hemoptysis,0.3
heartburn,0.1
cirrhosis of liver without mention of alcohol,0.2
renal failure nos,0.25
"complications of cardiac/vascular device, implant, and graft",0.5
poisoning by agents primarily affecting the cardiovascular system,0.2
bumetanide,0.75
captopril,0.75
carvedilol,0.75
isosorbide mononitrate,0.75
conivaptan,0.75
dobutamine,0.75
torsemide,0.75
isosorbide dinitrate,0.75
cachexia,0.5
primary pulmonary hypertension,0.3
myocarditis,0.5
acute pericarditis,0.2
chronic pericarditis,0.3
hypertrophic obstructive cardiomyopathy,0.6
secondary/extrinsic cardiomyopathies,0.75
orthopnea,0.75
chronic passive congestion of liver,0.7
vascular disorders of kidney/hypertrophy,0.25
dronedarone,0
quinapril,0.75
enalapril,0.75
esmolol,0
isoproterenol,0
metolazone,0.75
mitral valve disease,0.6
acute rheumatic heart disease,0.4
aneurysm and dissection of heart,0.25
other hypertrophic cardiomyopathy,0.6
other heart block,0.3
ventricular fibrillation and flutter,0.7
symptoms involving cardiovascular system,0.75
"cardiac complications, not elsewhere classified",0.7
chronic venous hypertension,0.3
hydrocele,0
cangrelor,0.1
sacubitril / valsartan,0.75
eplerenone,0
ramipril,0.75
enalaprilat,0.75
trandolapril,0.75
dofetilide,0.75
fosinopril,0.75
mexiletine,0
quinidine,0.2
dipyridamole,0
disopyramide,0
ibutilide,0
procainamide,0
cardiac rhythm regulators causing adverse effects in therapeutic use,0.25
Acylcarnitine/Carnitine.free (C0),0
sudden death,0.5
family history,0.2
"respiratory failure, insufficiency, arrest",0.4
constipation,0.1
"poisoning by water, mineral, and uric acid metabolism drugs",0.1
b-type natriuretic peptide,0.75
debility unspecified,0.2
hematocrit,0.2
HEAT/MOISTURE EXCHANGE,0.1
Cardiac Risk Factor Test,0.25
metoprolol tartrate,0.75
Cardiac Risk Factor Assessment,0.5
Fasting Status,0
Syncope,0.3
body fluid clarity,0.1
calculated hematocrit (venous blood gas),0.2
fluid output,0.3
"galectin-3, serum",0.75
renal failure index,0.35
Atrial natriuretic factor,0.75
Sodium,0
Pyruvate kinase,0.1
Flecainide,0
Carnitine esters/Carnitine.free (C0),0.1
Fasting status,0
Cardiac heart disease risk,0.75
benzocaine / dextromethorphan,0
dorzolamide,0
Yellow Hornet (Dolichovespula arenaria) IgE,0
Peanut (Arachis hypogaea) native (nAra h) 3 IgE,0
Ethyl glucuronide,0
congenital anomalies of intestine,0
Cholesterol,0.2
Clotting time,0.1
trametinib,0.1
Ceruloplasmin,0
IgG clearance/Albumin clearance,0.2
Salmon (Salmo salar) IgE,0
Platelets,0.1
frequency of urination and polyuria,0.2
Gardnerella vaginalis DNA,0
Tissue Transglutaminase IgG,0
procedures on the urethra,0
other therapeutic endocrine procedures,0.1
astigmatism,0
Alpha hydroxyalprazolam,0
Indinavir,0
arsenic,0
Voltage-gated calcium channel P/Q type binding Ab,0.1
ALPRAZolam,0
late effects of cerebrovascular disease,0.2
dementia with cerebral degenerations,0.1
other physical therapy and rehabilitation,0.2
anastrozole,0
Coxiella burnetii phase 2 IgG,0
Hydroxyproline,0
Beta 1 globulin,0.1
Norepinephrine,0
HFE gene mutations tested for,0.1
abnormal tumor markers,0.1
Citrulline/Creatinine,0.1
Ovalbumin IgE,0
eszopiclone,0
Chlamydia trachomatis IgG,0
"gastrectomy, partial and total",0
Follitropin,0
congenital coagulation defects,0.1
Leukocytes,0.1
N-methylhistamine/Creatinine,0
erythematosquamous dermatosis,0
Base deficit,0.2
"inflammatory disease of cervix, vagina, and vulva",0
Fine Granular Casts,0.2
LORazepam,0
oral aphthae,0
Brucella sp IgM,0
Leukocyte phosphatase,0.1
Glucose,0.2
Glomerular filtration rate.predicted among blacks,0.2
Glutamate decarboxylase 65 Ab,0
other cns infection and poliomyelitis,0
desoximetasone,0
throat pain,0.1
painful respiration,0.3
clindamycin,0
carbon dioxide (poc) (group:co2-poc),0.1
Mononuclear cells,0
"creatinine, time ur (mg/dl) (group:tu-cre)",0.2
Hemoglobin O-Arab/Hemoglobin.total,0
simeprevir,0
Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA,0
norbuprenorphine-glucuronide (group:norbup-gluc),0
Brazil Nut (Bertholletia excelsa) IgE,0
"tco2, cap, nicu (group:tco2cn)",0
Alpha 1 antitrypsin,0.1
Gas delivery source,0.1
dRVVT,0
cycloSPORINE,0
Cladosporium herbarum IgE,0
open wounds of extremities,0
Adenovirus Ab,0
Glucose-6-Phosphate dehydrogenase,0.1
Coarse Granular Casts,0.2
other diagnostic procedures on lung and bronchus,0.2
"protein, timed urine (mg/tv) (group:utpmgtv)",0.1
Specimen volume,0
"docusate / sennosides, USP",0
Chlamydophila pneumoniae Ab,0.1
guaifenesin / pseudoephedrine,0
infectious and parasitic complications affecting pregnancy,0
Coagulation factor X activity actual/Normal,0.1
stress fracture,0
alcoholic liver damage,0.1
nontraumatic compartment syndrome,0.1
Hepatitis D virus Ab,0
nausea and vomiting,0.2
Creatinine dialysis fluid clearance,0.2
Fat emulsion,0
Penicillium notatum IgE,0
primidone,0
fiber,0
Deprecated C trach rRNA XXX Ql Prb,0
Sjogrens syndrome-B extractable nuclear Ab,0
Cocksfoot (Dactylis glomerata) IgE,0
routine chest x-ray,0.3
electrocardiogram,0.5
Deprecated Magnesium SerPl-sCnc,0.1
Thiocyanate,0
Heparin unfractionated,0.2
Lidocaine,0
N-acetylprocainamide,0
Procainamide,0
Procainamide+N-acetylprocainamide,0
Deprecated aPTT Plas Qn,0
INR,0.25
Deprecated CK MB SerPl EIA-cCnc,0.2
essential hypertension,0.3
chronic bronchitis,0.2
obstructive chronic bronchitis,0.2
dopamine,0
sequence (group:seq),0
ethacrynic acid,0.75
ticagrelor,0
eptifibatide,0
aprotinin,0
fenoldopam,0
tirofiban,0
creatine kinase-mb - absolute count,0.2
international normalized ratio,0.2
prothrombin time,0.1
troponin i,0.5
catheterization laboratory sample site,0.2
insulin coverage glucose,0.1
peritoneal fluid cell count,0.1
post transfusion blood type and rhesus factor,0
pre transfusion blood type and rhesus factor determination,0
Bordetella parapertussis Ag,0
Procedure,0
Bordetella pertussis Ag,0
ascorbic acid / folic acid / iron carbonyl / vitamin B12,0.1
nesiritide,0.75
digoxin antibodies Fab fragments,0.75
perindopril,0.75
polyethylene glycol 300,0
coronary artery bypass graft (cabg),0.5
percutaneous transluminal coronary angioplasty (ptca),0.5
Troponin I.cardiac,0.5
Predicted Glomerular filtration rate,0.2
Prothrombin time (PT),0.1
occlusion and stenosis of precerebral arteries,0.2
other diseases of lung,0.2
other symptoms of respiratory system,0.3
albuterol / ipratropium,0.1
labetalol,0.75
type 2 diabetes with renal manifestations,0.2
pneumonia due to fungus (mycoses),0.2
vasopressin (USP),0.25
acetylcysteine,0
prasugrel,0
valsartan,0.75
Glucose / Heparin,0
Latrodectus mactans antivenin,0
ranolazine,0
papaverine,0
protamine sulfate (USP),0
asphyxia and hypoxemia,0.2
acquired absence of limb,0
THICK-IT,0
SOLO SITE,0
base excess (point-of-care testing),0.2
cytochrome p450 2c19 genotype,0.1
d-dimer quantitative,0.2
hemoglobin central catheter,0.1
inspiratory positive airway pressure,0.2
legionella direct fluorescent antibody and culture report,0
large unidentified mononuclear cells,0.1
mast cells,0.1
position,0
partial thromboplastin time mixing study,0.1
streptococcus test,0.1
status information,0
"total protein, fluid",0.2
virus culture report,0.05
Bicarbonate,0.2
Bordetella parapertussis DNA,0
Platelet IgA,0
Platelet IgM,0
Anion gap,0.1
Platelet IgG,0
Biphasic positive airway pressure (BIPAP) activity,0.65
Deprecated D Dimer PPP-aCnc,0.1
Mineralocorticoid deficiency,0.2
capsaicin / lidocaine / menthol,0
andexanet alfa,0.1
phentolamine,0
physostigmine,0
EPINEPHrine/Creatinine,0
Mesothelial cells,0
Oxygen,0.2
Carbon dioxide,0
pH,0
Oxygen saturation,0.5
pt (poc) (group:pt-poc),0
clevidipine,0
Projected heparin concentration to reach target ACT,0.1
absolute immature granulocytes,0.1
"streptococcus group a culture, throat report",0
Reticulocytes,0.1
Clostridioides difficile toxin B tcdB gene,0
Ginkgo biloba extract / Korean Ginseng Root Extract,0
antisynthetase antibody,0.1
first degree av block,0.25
ionized calcium whole blood,0.1
selexipag,0.75
pleurisy; pleural effusion,0.4
"chronic kidney disease, stage iv",0.4
radioisotope pulmonary scan,0.4
pindolol,0.75
hemorrhage nos,0.1
Fluid,0.2
gastrointestinal malfunction arising from mental factors,0
personal/family history,0.2
Hematocrit Level,0.2
cephradine,0
cervicocranial/cervicobrachial syndrome,0
abnormal heart sounds,0.5
fluid in,0.5
Fibrosis stage,0.1
case number,0
critical value called to x/readback,0
continuous positive airway pressure,0.25
other pulmonary inflamation or edema,0.5
